Brand,Origin,Characteristics,Preparation Method
Gesha,São Sebastião do Paraíso,Smokey,Hario V60
Maragogipe,Varginha,Full Body,Clever
Mundo Novo,São Sebastião do Paraíso,Chocolatey,French Press
Yellow Bourbon,Carmo de Minas,Citrusy,Italiana
Red Bourbon,Três Pontas,Citrusy,Espresso
Ethiopian Heirloom,Carmo de Minas,Bright Acidity,Hario V60
Villalobos,Fazenda Vista Alegre,Full Body,Clever
Java,São Sebastião do Paraíso,Full Body,French Press
Blue Mountain,Guaxupé,Caramel,Italiana
Kona,Patrocínio,Earthy,Espresso
Typica,Varginha,Earthy,Hario V60
Bourbon,Fazenda Serrinha,Caramel,Clever
Caturra,Patrocínio,Full Body,French Press
Catuai,Fazenda São Luiz,Smooth Finish,Italiana
SL28,Fazenda São Luiz,Bright Acidity,Espresso
SL34,Serra Negra,Smooth Finish,Hario V60
Pacamara,Fazenda Paraíso,Bright Acidity,Clever
Gesha,Fazenda Santa Clara,Bright Acidity,French Press
Maragogipe,Poços de Caldas,Floral,Italiana
Mundo Novo,Carmo de Minas,Rich Flavor,Espresso
Yellow Bourbon,Três Pontas,Caramel,Hario V60
Red Bourbon,São Sebastião do Paraíso,Nutty,Clever
Ethiopian Heirloom,Poços de Caldas,Earthy,French Press
Villalobos,Araguari,Rich Flavor,Italiana
Java,Santa Rita do Sapucaí,Citrusy,Espresso
Blue Mountain,Varginha,Bright Acidity,Hario V60
Kona,Fazenda Boa Esperança,Smokey,Clever
Typica,Fazenda São Luiz,Bright Acidity,French Press
Bourbon,Guaxupé,Caramel,Italiana
Caturra,Fazenda Santa Clara,Earthy,Espresso
Catuai,Varginha,Spicy,Hario V60
SL28,São Sebastião do Paraíso,Rich Flavor,Clever
SL34,Guaxupé,Smokey,French Press
Pacamara,Fazenda Boa Esperança,Smooth Finish,Italiana
Gesha,Fazenda Santa Clara,Full Body,Espresso
Maragogipe,Itamogi,Sweet Aftertaste,Hario V60
Mundo Novo,Lavras,Sweet Aftertaste,Clever
Yellow Bourbon,Patrocínio,Full Body,French Press
Red Bourbon,Fazenda Primavera,Caramel,Italiana
Ethiopian Heirloom,Fazenda Serrinha,Chocolatey,Espresso
Villalobos,Fazenda São Luiz,Fruity,Hario V60
Java,Fazenda Primavera,Floral,Clever
Blue Mountain,Guaxupé,Citrusy,French Press
Kona,Fazenda São Luiz,Nutty,Italiana
Typica,Poços de Caldas,Spicy,Espresso
Bourbon,Fazenda Boa Esperança,Smokey,Hario V60
Caturra,Araguari,Caramel,Clever
Catuai,Guaxupé,Full Body,French Press
SL28,Varginha,Bright Acidity,Italiana
SL34,Fazenda Boa Esperança,Sweet Aftertaste,Espresso
Pacamara,Guaxupé,Floral,Hario V60
Gesha,Fazenda Primavera,Caramel,Clever
Maragogipe,Itamogi,Bright Acidity,French Press
Mundo Novo,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Floral,Espresso
Red Bourbon,Patrocínio,Smooth Finish,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Full Body,Clever
Villalobos,Carmo de Minas,Bright Acidity,French Press
Java,Varginha,Smooth Finish,Italiana
Blue Mountain,Poços de Caldas,Chocolatey,Espresso
Kona,Araguari,Smokey,Hario V60
Typica,Itamogi,Chocolatey,Clever
Bourbon,Fazenda Serrinha,Smokey,French Press
Caturra,Araguari,Nutty,Italiana
Catuai,Fazenda Serrinha,Caramel,Espresso
SL28,Fazenda Paraíso,Nutty,Hario V60
SL34,Itamogi,Balanced,Clever
Pacamara,Fazenda Primavera,Bright Acidity,French Press
Gesha,Patrocínio,Caramel,Italiana
Maragogipe,Santa Rita do Sapucaí,Caramel,Espresso
Mundo Novo,Varginha,Earthy,Hario V60
Yellow Bourbon,Lavras,Floral,Clever
Red Bourbon,Santa Rita do Sapucaí,Sweet Aftertaste,French Press
Ethiopian Heirloom,Fazenda Santa Clara,Sweet Aftertaste,Italiana
Villalobos,Araguari,Smooth Finish,Espresso
Java,Santa Rita do Sapucaí,Fruity,Hario V60
Blue Mountain,Fazenda Boa Esperança,Earthy,Clever
Kona,Fazenda Serrinha,Citrusy,French Press
Typica,Fazenda Paraíso,Smokey,Italiana
Bourbon,Fazenda Santa Clara,Nutty,Espresso
Caturra,Três Pontas,Smooth Finish,Hario V60
Catuai,Fazenda Vista Alegre,Caramel,Clever
SL28,Três Pontas,Sweet Aftertaste,French Press
SL34,Patrocínio,Citrusy,Italiana
Pacamara,Itamogi,Bright Acidity,Espresso
Gesha,Carmo de Minas,Rich Flavor,Hario V60
Maragogipe,Varginha,Smokey,Clever
Mundo Novo,Fazenda São Luiz,Smokey,French Press
Yellow Bourbon,São Sebastião do Paraíso,Smooth Finish,Italiana
Red Bourbon,Fazenda Boa Esperança,Full Body,Espresso
Ethiopian Heirloom,Fazenda Paraíso,Nutty,Hario V60
Villalobos,Fazenda Boa Esperança,Smokey,Clever
Java,Três Pontas,Citrusy,French Press
Blue Mountain,Fazenda São Luiz,Caramel,Italiana
Kona,Poços de Caldas,Smooth Finish,Espresso
Typica,Fazenda Santa Clara,Citrusy,Hario V60
Bourbon,Fazenda Monte Verde,Citrusy,Clever
Caturra,Santa Rita do Sapucaí,Sweet Aftertaste,French Press
Catuai,Lavras,Bright Acidity,Italiana
SL28,Fazenda Monte Verde,Spicy,Espresso
SL34,Fazenda Santa Clara,Spicy,Hario V60
Pacamara,Três Pontas,Full Body,Clever
Gesha,Santa Rita do Sapucaí,Caramel,French Press
Maragogipe,Fazenda Vista Alegre,Caramel,Italiana
Mundo Novo,Fazenda Paraíso,Fruity,Espresso
Yellow Bourbon,Lavras,Chocolatey,Hario V60
Red Bourbon,Araguari,Citrusy,Clever
Ethiopian Heirloom,Carmo de Minas,Bright Acidity,French Press
Villalobos,Araguari,Citrusy,Italiana
Java,Poços de Caldas,Chocolatey,Espresso
Blue Mountain,Carmo de Minas,Full Body,Hario V60
Kona,Três Pontas,Smooth Finish,Clever
Typica,Fazenda Santa Clara,Smokey,French Press
Bourbon,Fazenda Serrinha,Bright Acidity,Italiana
Caturra,Fazenda Santa Clara,Smooth Finish,Espresso
Catuai,São Sebastião do Paraíso,Earthy,Hario V60
SL28,Fazenda Santa Clara,Smokey,Clever
SL34,Serra Negra,Smokey,French Press
Pacamara,Fazenda Vista Alegre,Spicy,Italiana
Gesha,Fazenda Boa Esperança,Caramel,Espresso
Maragogipe,Lavras,Fruity,Hario V60
Mundo Novo,Patrocínio,Smokey,Clever
Yellow Bourbon,Poços de Caldas,Fruity,French Press
Red Bourbon,Carmo de Minas,Full Body,Italiana
Ethiopian Heirloom,Poços de Caldas,Caramel,Espresso
Villalobos,Fazenda Primavera,Nutty,Hario V60
Java,Itamogi,Full Body,Clever
Blue Mountain,Varginha,Full Body,French Press
Kona,Carmo de Minas,Nutty,Italiana
Typica,São Sebastião do Paraíso,Sweet Aftertaste,Espresso
Bourbon,Fazenda Primavera,Sweet Aftertaste,Hario V60
Caturra,São Sebastião do Paraíso,Bright Acidity,Clever
Catuai,Lavras,Balanced,French Press
SL28,Três Pontas,Smokey,Italiana
SL34,Fazenda Santa Clara,Fruity,Espresso
Pacamara,Lavras,Spicy,Hario V60
Gesha,Itamogi,Caramel,Clever
Maragogipe,Fazenda Primavera,Citrusy,French Press
Mundo Novo,Poços de Caldas,Spicy,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Rich Flavor,Espresso
Red Bourbon,Fazenda Boa Esperança,Spicy,Hario V60
Ethiopian Heirloom,Fazenda Monte Verde,Sweet Aftertaste,Clever
Villalobos,São Sebastião do Paraíso,Bright Acidity,French Press
Java,Fazenda Serrinha,Smooth Finish,Italiana
Blue Mountain,São Sebastião do Paraíso,Nutty,Espresso
Kona,Araguari,Sweet Aftertaste,Hario V60
Typica,Santa Rita do Sapucaí,Fruity,Clever
Bourbon,Itamogi,Bright Acidity,French Press
Caturra,Fazenda Monte Verde,Smooth Finish,Italiana
Catuai,São Sebastião do Paraíso,Earthy,Espresso
SL28,Fazenda Boa Esperança,Smokey,Hario V60
SL34,Guaxupé,Sweet Aftertaste,Clever
Pacamara,Varginha,Citrusy,French Press
Gesha,Araguari,Spicy,Italiana
Maragogipe,Fazenda Primavera,Rich Flavor,Espresso
Mundo Novo,Fazenda Vista Alegre,Rich Flavor,Hario V60
Yellow Bourbon,Araguari,Full Body,Clever
Red Bourbon,Fazenda São Luiz,Smooth Finish,French Press
Ethiopian Heirloom,Araguari,Nutty,Italiana
Villalobos,Poços de Caldas,Smooth Finish,Espresso
Java,Patrocínio,Smokey,Hario V60
Blue Mountain,Fazenda Primavera,Sweet Aftertaste,Clever
Kona,Patrocínio,Earthy,French Press
Typica,Fazenda Monte Verde,Chocolatey,Italiana
Bourbon,Fazenda Paraíso,Sweet Aftertaste,Espresso
Caturra,Poços de Caldas,Balanced,Hario V60
Catuai,Serra Negra,Floral,Clever
SL28,Guaxupé,Earthy,French Press
SL34,Três Pontas,Chocolatey,Italiana
Pacamara,Fazenda Primavera,Nutty,Espresso
Gesha,Lavras,Rich Flavor,Hario V60
Maragogipe,Lavras,Floral,Clever
Mundo Novo,Fazenda São Luiz,Bright Acidity,French Press
Yellow Bourbon,Fazenda Santa Clara,Chocolatey,Italiana
Red Bourbon,Patrocínio,Full Body,Espresso
Ethiopian Heirloom,Guaxupé,Rich Flavor,Hario V60
Villalobos,Fazenda Primavera,Caramel,Clever
Java,Poços de Caldas,Citrusy,French Press
Blue Mountain,Patrocínio,Full Body,Italiana
Kona,Fazenda Paraíso,Floral,Espresso
Typica,Fazenda Serrinha,Smooth Finish,Hario V60
Bourbon,Serra Negra,Caramel,Clever
Caturra,Serra Negra,Chocolatey,French Press
Catuai,Fazenda Paraíso,Full Body,Italiana
SL28,Carmo de Minas,Balanced,Espresso
SL34,Lavras,Earthy,Hario V60
Pacamara,Fazenda Serrinha,Fruity,Clever
Gesha,Varginha,Floral,French Press
Maragogipe,Guaxupé,Chocolatey,Italiana
Mundo Novo,Poços de Caldas,Rich Flavor,Espresso
Yellow Bourbon,Araguari,Bright Acidity,Hario V60
Red Bourbon,Fazenda Vista Alegre,Earthy,Clever
Ethiopian Heirloom,São Sebastião do Paraíso,Fruity,French Press
Villalobos,Santa Rita do Sapucaí,Nutty,Italiana
Java,Fazenda Primavera,Earthy,Espresso
Blue Mountain,Fazenda Vista Alegre,Fruity,Hario V60
Kona,Fazenda Monte Verde,Full Body,Clever
Typica,Patrocínio,Bright Acidity,French Press
Bourbon,Fazenda Paraíso,Floral,Italiana
Caturra,Três Pontas,Balanced,Espresso
Catuai,Fazenda Santa Clara,Rich Flavor,Hario V60
SL28,Poços de Caldas,Sweet Aftertaste,Clever
SL34,São Sebastião do Paraíso,Floral,French Press
Pacamara,São Sebastião do Paraíso,Nutty,Italiana
Gesha,Araguari,Smokey,Espresso
Maragogipe,Fazenda Primavera,Fruity,Hario V60
Mundo Novo,Poços de Caldas,Earthy,Clever
Yellow Bourbon,Patrocínio,Smokey,French Press
Red Bourbon,Patrocínio,Bright Acidity,Italiana
Ethiopian Heirloom,Patrocínio,Earthy,Espresso
Villalobos,Fazenda Primavera,Sweet Aftertaste,Hario V60
Java,Três Pontas,Bright Acidity,Clever
Blue Mountain,São Sebastião do Paraíso,Nutty,French Press
Kona,Fazenda Santa Clara,Balanced,Italiana
Typica,Patrocínio,Citrusy,Espresso
Bourbon,Fazenda Boa Esperança,Earthy,Hario V60
Caturra,Fazenda Monte Verde,Fruity,Clever
Catuai,Varginha,Caramel,French Press
SL28,Fazenda Santa Clara,Spicy,Italiana
SL34,Fazenda Paraíso,Earthy,Espresso
Pacamara,Patrocínio,Balanced,Hario V60
Gesha,Itamogi,Citrusy,Clever
Maragogipe,Lavras,Smokey,French Press
Mundo Novo,Fazenda Monte Verde,Fruity,Italiana
Yellow Bourbon,Fazenda Santa Clara,Full Body,Espresso
Red Bourbon,Guaxupé,Full Body,Hario V60
Ethiopian Heirloom,São Sebastião do Paraíso,Smooth Finish,Clever
Villalobos,Fazenda Primavera,Smooth Finish,French Press
Java,Guaxupé,Nutty,Italiana
Blue Mountain,Fazenda Santa Clara,Spicy,Espresso
Kona,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Typica,Fazenda Monte Verde,Fruity,Clever
Bourbon,Poços de Caldas,Rich Flavor,French Press
Caturra,Fazenda Serrinha,Chocolatey,Italiana
Catuai,Fazenda São Luiz,Rich Flavor,Espresso
SL28,Guaxupé,Balanced,Hario V60
SL34,Três Pontas,Fruity,Clever
Pacamara,Fazenda Paraíso,Caramel,French Press
Gesha,Fazenda São Luiz,Rich Flavor,Italiana
Maragogipe,Fazenda Primavera,Smokey,Espresso
Mundo Novo,Itamogi,Smooth Finish,Hario V60
Yellow Bourbon,Fazenda Paraíso,Chocolatey,Clever
Red Bourbon,Três Pontas,Chocolatey,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Caramel,Italiana
Villalobos,Fazenda Primavera,Chocolatey,Espresso
Java,Poços de Caldas,Fruity,Hario V60
Blue Mountain,Fazenda São Luiz,Sweet Aftertaste,Clever
Kona,Fazenda Paraíso,Caramel,French Press
Typica,Guaxupé,Spicy,Italiana
Bourbon,Serra Negra,Fruity,Espresso
Caturra,Fazenda Monte Verde,Full Body,Hario V60
Catuai,Lavras,Spicy,Clever
SL28,Fazenda Boa Esperança,Rich Flavor,French Press
SL34,Araguari,Nutty,Italiana
Pacamara,Patrocínio,Caramel,Espresso
Gesha,Serra Negra,Spicy,Hario V60
Maragogipe,Varginha,Sweet Aftertaste,Clever
Mundo Novo,Fazenda Primavera,Balanced,French Press
Yellow Bourbon,Fazenda Vista Alegre,Bright Acidity,Italiana
Red Bourbon,Fazenda Paraíso,Floral,Espresso
Ethiopian Heirloom,Guaxupé,Rich Flavor,Hario V60
Villalobos,Varginha,Smooth Finish,Clever
Java,Fazenda Monte Verde,Balanced,French Press
Blue Mountain,Fazenda Vista Alegre,Earthy,Italiana
Kona,Três Pontas,Smooth Finish,Espresso
Typica,Itamogi,Sweet Aftertaste,Hario V60
Bourbon,Carmo de Minas,Smooth Finish,Clever
Caturra,Santa Rita do Sapucaí,Earthy,French Press
Catuai,Serra Negra,Fruity,Italiana
SL28,Fazenda Boa Esperança,Smooth Finish,Espresso
SL34,Itamogi,Citrusy,Hario V60
Pacamara,Fazenda Santa Clara,Floral,Clever
Gesha,Fazenda Santa Clara,Smokey,French Press
Maragogipe,Fazenda Serrinha,Balanced,Italiana
Mundo Novo,Fazenda Santa Clara,Smokey,Espresso
Yellow Bourbon,Araguari,Citrusy,Hario V60
Red Bourbon,São Sebastião do Paraíso,Nutty,Clever
Ethiopian Heirloom,Fazenda Primavera,Earthy,French Press
Villalobos,Araguari,Floral,Italiana
Java,Patrocínio,Spicy,Espresso
Blue Mountain,Fazenda Santa Clara,Balanced,Hario V60
Kona,Poços de Caldas,Floral,Clever
Typica,Três Pontas,Floral,French Press
Bourbon,Lavras,Smokey,Italiana
Caturra,Patrocínio,Full Body,Espresso
Catuai,Fazenda Monte Verde,Rich Flavor,Hario V60
SL28,Patrocínio,Balanced,Clever
SL34,Poços de Caldas,Sweet Aftertaste,French Press
Pacamara,São Sebastião do Paraíso,Spicy,Italiana
Gesha,São Sebastião do Paraíso,Sweet Aftertaste,Espresso
Maragogipe,São Sebastião do Paraíso,Full Body,Hario V60
Mundo Novo,Serra Negra,Fruity,Clever
Yellow Bourbon,Varginha,Full Body,French Press
Red Bourbon,Fazenda Monte Verde,Chocolatey,Italiana
Ethiopian Heirloom,Itamogi,Citrusy,Espresso
Villalobos,Carmo de Minas,Fruity,Hario V60
Java,São Sebastião do Paraíso,Chocolatey,Clever
Blue Mountain,Fazenda Serrinha,Sweet Aftertaste,French Press
Kona,Fazenda Serrinha,Full Body,Italiana
Typica,Fazenda Santa Clara,Full Body,Espresso
Bourbon,Guaxupé,Full Body,Hario V60
Caturra,Itamogi,Smokey,Clever
Catuai,Fazenda Vista Alegre,Nutty,French Press
SL28,São Sebastião do Paraíso,Fruity,Italiana
SL34,Fazenda Monte Verde,Smooth Finish,Espresso
Pacamara,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Gesha,Araguari,Balanced,Clever
Maragogipe,Três Pontas,Earthy,French Press
Mundo Novo,Fazenda Paraíso,Full Body,Italiana
Yellow Bourbon,Fazenda Monte Verde,Sweet Aftertaste,Espresso
Red Bourbon,Fazenda Monte Verde,Spicy,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Rich Flavor,Clever
Villalobos,São Sebastião do Paraíso,Spicy,French Press
Java,Carmo de Minas,Sweet Aftertaste,Italiana
Blue Mountain,Lavras,Smooth Finish,Espresso
Kona,Fazenda Paraíso,Smokey,Hario V60
Typica,Três Pontas,Bright Acidity,Clever
Bourbon,Guaxupé,Smokey,French Press
Caturra,Fazenda Paraíso,Smokey,Italiana
Catuai,Poços de Caldas,Chocolatey,Espresso
SL28,Fazenda Boa Esperança,Sweet Aftertaste,Hario V60
SL34,Santa Rita do Sapucaí,Earthy,Clever
Pacamara,Lavras,Floral,French Press
Gesha,Fazenda Primavera,Citrusy,Italiana
Maragogipe,Fazenda Serrinha,Citrusy,Espresso
Mundo Novo,Fazenda Boa Esperança,Earthy,Hario V60
Yellow Bourbon,Varginha,Nutty,Clever
Red Bourbon,Itamogi,Full Body,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Chocolatey,Italiana
Villalobos,Varginha,Caramel,Espresso
Java,Fazenda Santa Clara,Caramel,Hario V60
Blue Mountain,Fazenda Santa Clara,Chocolatey,Clever
Kona,Fazenda Vista Alegre,Balanced,French Press
Typica,Lavras,Floral,Italiana
Bourbon,Santa Rita do Sapucaí,Smokey,Espresso
Caturra,Serra Negra,Floral,Hario V60
Catuai,Fazenda São Luiz,Sweet Aftertaste,Clever
SL28,Guaxupé,Balanced,French Press
SL34,Poços de Caldas,Balanced,Italiana
Pacamara,Fazenda Boa Esperança,Sweet Aftertaste,Espresso
Gesha,Fazenda Boa Esperança,Floral,Hario V60
Maragogipe,Fazenda São Luiz,Sweet Aftertaste,Clever
Mundo Novo,Fazenda Primavera,Citrusy,French Press
Yellow Bourbon,Carmo de Minas,Chocolatey,Italiana
Red Bourbon,Poços de Caldas,Balanced,Espresso
Ethiopian Heirloom,Itamogi,Chocolatey,Hario V60
Villalobos,Poços de Caldas,Caramel,Clever
Java,Patrocínio,Bright Acidity,French Press
Blue Mountain,Fazenda Paraíso,Full Body,Italiana
Kona,Lavras,Nutty,Espresso
Typica,Araguari,Chocolatey,Hario V60
Bourbon,Fazenda São Luiz,Bright Acidity,Clever
Caturra,Carmo de Minas,Bright Acidity,French Press
Catuai,Poços de Caldas,Bright Acidity,Italiana
SL28,Patrocínio,Citrusy,Espresso
SL34,Itamogi,Nutty,Hario V60
Pacamara,Fazenda Vista Alegre,Spicy,Clever
Gesha,Três Pontas,Fruity,French Press
Maragogipe,Lavras,Nutty,Italiana
Mundo Novo,Lavras,Earthy,Espresso
Yellow Bourbon,Guaxupé,Nutty,Hario V60
Red Bourbon,Fazenda Monte Verde,Spicy,Clever
Ethiopian Heirloom,Poços de Caldas,Caramel,French Press
Villalobos,Fazenda São Luiz,Spicy,Italiana
Java,Fazenda Monte Verde,Nutty,Espresso
Blue Mountain,Fazenda Serrinha,Nutty,Hario V60
Kona,Varginha,Bright Acidity,Clever
Typica,Fazenda Santa Clara,Balanced,French Press
Bourbon,Lavras,Floral,Italiana
Caturra,Fazenda Santa Clara,Sweet Aftertaste,Espresso
Catuai,Santa Rita do Sapucaí,Fruity,Hario V60
SL28,Varginha,Nutty,Clever
SL34,Fazenda Boa Esperança,Nutty,French Press
Pacamara,Fazenda Vista Alegre,Rich Flavor,Italiana
Gesha,Guaxupé,Smooth Finish,Espresso
Maragogipe,Fazenda Monte Verde,Spicy,Hario V60
Mundo Novo,Fazenda Serrinha,Nutty,Clever
Yellow Bourbon,Santa Rita do Sapucaí,Smooth Finish,French Press
Red Bourbon,Fazenda Paraíso,Chocolatey,Italiana
Ethiopian Heirloom,Itamogi,Smokey,Espresso
Villalobos,Fazenda Serrinha,Full Body,Hario V60
Java,Fazenda Boa Esperança,Caramel,Clever
Blue Mountain,Lavras,Rich Flavor,French Press
Kona,Fazenda Santa Clara,Smokey,Italiana
Typica,Fazenda Serrinha,Earthy,Espresso
Bourbon,São Sebastião do Paraíso,Citrusy,Hario V60
Caturra,Guaxupé,Nutty,Clever
Catuai,Fazenda Paraíso,Citrusy,French Press
SL28,Guaxupé,Nutty,Italiana
SL34,Fazenda Primavera,Spicy,Espresso
Pacamara,Fazenda Santa Clara,Spicy,Hario V60
Gesha,Fazenda Monte Verde,Sweet Aftertaste,Clever
Maragogipe,Fazenda Santa Clara,Smokey,French Press
Mundo Novo,Fazenda São Luiz,Smokey,Italiana
Yellow Bourbon,Guaxupé,Bright Acidity,Espresso
Red Bourbon,Araguari,Caramel,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Floral,Clever
Villalobos,Fazenda Vista Alegre,Smooth Finish,French Press
Java,Fazenda Primavera,Balanced,Italiana
Blue Mountain,Carmo de Minas,Rich Flavor,Espresso
Kona,Patrocínio,Rich Flavor,Hario V60
Typica,Fazenda Primavera,Earthy,Clever
Bourbon,Patrocínio,Full Body,French Press
Caturra,Varginha,Bright Acidity,Italiana
Catuai,Fazenda Serrinha,Caramel,Espresso
SL28,São Sebastião do Paraíso,Rich Flavor,Hario V60
SL34,São Sebastião do Paraíso,Citrusy,Clever
Pacamara,Fazenda Boa Esperança,Balanced,French Press
Gesha,São Sebastião do Paraíso,Smokey,Italiana
Maragogipe,Fazenda Primavera,Balanced,Espresso
Mundo Novo,Fazenda São Luiz,Full Body,Hario V60
Yellow Bourbon,Guaxupé,Rich Flavor,Clever
Red Bourbon,Carmo de Minas,Nutty,French Press
Ethiopian Heirloom,Fazenda Boa Esperança,Balanced,Italiana
Villalobos,Lavras,Chocolatey,Espresso
Java,Fazenda Serrinha,Bright Acidity,Hario V60
Blue Mountain,Serra Negra,Fruity,Clever
Kona,Fazenda São Luiz,Balanced,French Press
Typica,São Sebastião do Paraíso,Sweet Aftertaste,Italiana
Bourbon,Araguari,Caramel,Espresso
Caturra,Fazenda Santa Clara,Spicy,Hario V60
Catuai,Guaxupé,Chocolatey,Clever
SL28,Fazenda Paraíso,Nutty,French Press
SL34,Fazenda Serrinha,Sweet Aftertaste,Italiana
Pacamara,Fazenda Serrinha,Smokey,Espresso
Gesha,Itamogi,Earthy,Hario V60
Maragogipe,Carmo de Minas,Sweet Aftertaste,Clever
Mundo Novo,Santa Rita do Sapucaí,Full Body,French Press
Yellow Bourbon,Serra Negra,Sweet Aftertaste,Italiana
Red Bourbon,Fazenda Monte Verde,Rich Flavor,Espresso
Ethiopian Heirloom,Fazenda Vista Alegre,Floral,Hario V60
Villalobos,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Java,Carmo de Minas,Full Body,French Press
Blue Mountain,Fazenda São Luiz,Full Body,Italiana
Kona,Fazenda São Luiz,Smokey,Espresso
Typica,Fazenda Serrinha,Floral,Hario V60
Bourbon,Itamogi,Spicy,Clever
Caturra,Carmo de Minas,Full Body,French Press
Catuai,Fazenda São Luiz,Full Body,Italiana
SL28,Santa Rita do Sapucaí,Nutty,Espresso
SL34,Fazenda Paraíso,Sweet Aftertaste,Hario V60
Pacamara,Itamogi,Sweet Aftertaste,Clever
Gesha,Carmo de Minas,Caramel,French Press
Maragogipe,Lavras,Smooth Finish,Italiana
Mundo Novo,Patrocínio,Chocolatey,Espresso
Yellow Bourbon,Fazenda Boa Esperança,Caramel,Hario V60
Red Bourbon,Fazenda Monte Verde,Citrusy,Clever
Ethiopian Heirloom,Araguari,Chocolatey,French Press
Villalobos,Varginha,Fruity,Italiana
Java,Fazenda São Luiz,Fruity,Espresso
Blue Mountain,Três Pontas,Chocolatey,Hario V60
Kona,Fazenda Vista Alegre,Spicy,Clever
Typica,Poços de Caldas,Nutty,French Press
Bourbon,Fazenda Vista Alegre,Bright Acidity,Italiana
Caturra,Carmo de Minas,Spicy,Espresso
Catuai,Três Pontas,Caramel,Hario V60
SL28,Fazenda Vista Alegre,Nutty,Clever
SL34,São Sebastião do Paraíso,Bright Acidity,French Press
Pacamara,Fazenda Santa Clara,Chocolatey,Italiana
Gesha,Lavras,Caramel,Espresso
Maragogipe,Fazenda Serrinha,Rich Flavor,Hario V60
Mundo Novo,Fazenda São Luiz,Sweet Aftertaste,Clever
Yellow Bourbon,Fazenda Serrinha,Balanced,French Press
Red Bourbon,Poços de Caldas,Spicy,Italiana
Ethiopian Heirloom,Fazenda Vista Alegre,Balanced,Espresso
Villalobos,Santa Rita do Sapucaí,Earthy,Hario V60
Java,Araguari,Full Body,Clever
Blue Mountain,Fazenda São Luiz,Sweet Aftertaste,French Press
Kona,Serra Negra,Chocolatey,Italiana
Typica,Fazenda Serrinha,Chocolatey,Espresso
Bourbon,Patrocínio,Floral,Hario V60
Caturra,Araguari,Chocolatey,Clever
Catuai,Fazenda Monte Verde,Smooth Finish,French Press
SL28,Santa Rita do Sapucaí,Citrusy,Italiana
SL34,Fazenda Vista Alegre,Citrusy,Espresso
Pacamara,Fazenda Monte Verde,Bright Acidity,Hario V60
Gesha,Fazenda Vista Alegre,Smokey,Clever
Maragogipe,Fazenda Serrinha,Caramel,French Press
Mundo Novo,Fazenda Santa Clara,Smokey,Italiana
Yellow Bourbon,Três Pontas,Earthy,Espresso
Red Bourbon,Patrocínio,Citrusy,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Floral,Clever
Villalobos,Patrocínio,Full Body,French Press
Java,Fazenda Santa Clara,Nutty,Italiana
Blue Mountain,Guaxupé,Rich Flavor,Espresso
Kona,Carmo de Minas,Spicy,Hario V60
Typica,Fazenda Serrinha,Balanced,Clever
Bourbon,Guaxupé,Full Body,French Press
Caturra,Fazenda Santa Clara,Citrusy,Italiana
Catuai,Fazenda Boa Esperança,Caramel,Espresso
SL28,Itamogi,Balanced,Hario V60
SL34,Fazenda Vista Alegre,Rich Flavor,Clever
Pacamara,Fazenda Serrinha,Smokey,French Press
Gesha,Lavras,Nutty,Italiana
Maragogipe,Fazenda São Luiz,Spicy,Espresso
Mundo Novo,Carmo de Minas,Smooth Finish,Hario V60
Yellow Bourbon,Guaxupé,Caramel,Clever
Red Bourbon,Três Pontas,Nutty,French Press
Ethiopian Heirloom,Carmo de Minas,Rich Flavor,Italiana
Villalobos,São Sebastião do Paraíso,Fruity,Espresso
Java,Serra Negra,Floral,Hario V60
Blue Mountain,Fazenda Vista Alegre,Nutty,Clever
Kona,São Sebastião do Paraíso,Smooth Finish,French Press
Typica,Fazenda Serrinha,Sweet Aftertaste,Italiana
Bourbon,Poços de Caldas,Chocolatey,Espresso
Caturra,Araguari,Sweet Aftertaste,Hario V60
Catuai,Fazenda Monte Verde,Citrusy,Clever
SL28,Fazenda Serrinha,Full Body,French Press
SL34,São Sebastião do Paraíso,Nutty,Italiana
Pacamara,Fazenda Vista Alegre,Rich Flavor,Espresso
Gesha,Fazenda Paraíso,Balanced,Hario V60
Maragogipe,Fazenda São Luiz,Citrusy,Clever
Mundo Novo,Itamogi,Balanced,French Press
Yellow Bourbon,Fazenda Santa Clara,Nutty,Italiana
Red Bourbon,Fazenda Vista Alegre,Balanced,Espresso
Ethiopian Heirloom,Araguari,Spicy,Hario V60
Villalobos,Fazenda Serrinha,Citrusy,Clever
Java,Fazenda Serrinha,Fruity,French Press
Blue Mountain,Fazenda Serrinha,Bright Acidity,Italiana
Kona,Poços de Caldas,Citrusy,Espresso
Typica,São Sebastião do Paraíso,Fruity,Hario V60
Bourbon,Serra Negra,Rich Flavor,Clever
